585	1065
631	1100
594	1098
620	1058
605	1093
580	1072
602	1073
602	1097
619	1069
581	1054
610	1093
590	1085
586	1086
600	1078
638	1102
564	989
575	1032
540	1000
615	1135
578	1033
530	982
640	1138
615	1117
567	1029
584	1065
604	1078
676	1190
563	1037
661	1123
628	1144
604	1022
574	1015
636	1085
578	1053
584	1071
617	1095
600	1095
560	1033
585	974
572	1012
611	1152
499	931
587	1051
557	1024
605	1125
595	1055
529	967
578	1060
647	1119
589	1091
515	971
520	922
533	1055
504	954
494	1025
526	961
527	1151
492	1036
489	927
531	1047
491	1018
497	939
444	1010
493	984
485	922
491	1021
480	1035
496	1007
473	974
510	973
505	1111
517	1064
549	1072
509	1110
484	978
542	1035
501	1035
497	998
494	985
483	1009
490	1085
506	1064
499	1008
527	1086
502	1097
511	1031
545	1090
520	1033
491	1007
539	912
489	1003
505	923
512	1049
483	999
477	1094
509	1000
483	1017
535	1026
509	953
505	1051
496	958
575	824
483	898
540	898
521	902
504	819
556	917
500	955
499	895
540	860
518	903
563	925
517	890
518	967
519	862
529	897
540	950
546	934
536	997
502	884
490	947
525	887
490	911
520	834
502	863
520	819
521	932
517	867
530	957
516	878
496	853
537	896
540	935
532	940
555	931
533	900
500	876
532	846
534	918
526	917
525	901
524	948
524	770
515	911
543	971
505	940
529	891
525	900
527	914
512	849
569	824
587	792
517	894
588	787
533	895
590	774
570	869
555	819
527	828
511	939
553	822
555	799
579	871
534	883
548	824
545	796
568	875
526	911
544	843
514	844
533	773
561	851
536	805
549	841
531	762
514	816
505	853
543	770
552	943
532	823
592	814
569	878
553	812
570	872
530	844
528	831
570	863
528	841
507	922
522	787
573	794
539	860
584	791
550	805
540	846
525	864
562	808
539	878
557	866
555	799
